timestamp,scope,event,count,latency_avg_us,latency_max_us,latency_p50_us,latency_p95_us,latency_p99_us,total_latency_us,bytes_total,error_count,error_rate
1768820065,node,ppoll,1,201095.00,201095,201095,201095,201095,201095,0,1,1.0000
1768820065,node,pselect6,1,1001037.00,1001037,1001037,1001037,1001037,1001037,0,0,0.0000
1768820065,node,fdatasync,16,444.75,897,510,897,897,7116,0,0,0.0000
1768820065,node,sendto,2,65.50,70,70,70,70,131,40,0,0.0000
1768820066,node,sched_lat,9241,9.94,2062,6,17,44,91810,0,0,0.0000
1768820066,node,runqlen,63,0.00,0,0,0,0,0,467484,0,0.0000
1768820066,node,futex,679,23872.25,6105761,0,99961,980428,16209259,0,299,0.4404
1768820066,node,epoll_pwait,2702,10094.53,7398731,0,2088,25076,27275423,0,0,0.0000
1768820066,node,read,9,831.78,1475,994,1475,1475,7486,3567,0,0.0000
1768820066,node,softirq,3380,5.65,344,1,21,78,19102,14559,0,0.0000
1768820066,node,io_qdepth,33,0.00,0,0,0,0,0,1019,0,0.0000
1768820066,node,block_io,30,189.40,370,165,364,370,5682,196608,0,0.0000
1768820066,node,nanosleep,399,44885.97,4000096,92,10088,1000097,17909501,0,0,0.0000
1768820066,node,connect,3,79.67,109,71,109,109,239,0,3,1.0000
1768820066,node,poll,10089,900.51,2999964,1,1,9,9085208,0,0,0.0000
1768820066,node,epoll_wait,120,75827.24,1000716,29201,105579,975848,9099269,0,0,0.0000
1768820066,node,dstate_io,35,1206.31,37289,103,967,37289,42221,0,0,0.0000
1768820066,node,write,4,9436.50,37312,196,37312,37312,37746,129,0,0.0000
1768820066,node,fdatasync,10,474.10,1238,390,1238,1238,4741,0,0,0.0000
1768820066,node,select,9,444449.89,1442417,114439,1442417,1442417,4000049,0,0,0.0000
1768820066,node,recvmsg,12,1666686.42,9999956,58,9999956,9999956,20000237,72188,0,0.0000
1768820066,node,sendmsg,2,73.50,83,83,83,83,147,646,0,0.0000
1768820066,node,ppoll,4,417864.00,1671175,107,1671175,1671175,1671456,0,1,0.2500
